Name,Location,County,Latitude,Longitude,Date,Day of the Week,Start Time,End Time,Start of Period,End of Period,Entry Fee,Weekly Fee,Alternative Payment,Transportation,Other Costs,Description,Target Audience,Businesses Types,Pros for FJ,Cons for FJ,Mitigation of Cons,Vendor Application Link,Source,5x5 Booth,10x10 Booth,,,
Marietta Square Farmers Market,"Historic Marietta Square - 65 Church Street NW, Marietta, GA 30060",Cobb County,33.9526,-84.5499,"Saturdays, 9:00am–12:00pm, Year-Round",Saturday,09:00:00,12:00:00,1-Jan,31-Dec,$25 per week,$25.00,NA,Gas,Sales Taxes,"The Marietta Square Farmers Market aims to support the local agricultural economy by providing a platform for farmers and vendors to sell high-quality, handmade products directly to consumers. It helps food and garden-related businesses using locally grown ingredients access the market, promoting community engagement and offering an alternative shopping experience. All products sold are grown or produced by the vendors themselves. Considered #1 best farmers market in Atlanta.",Families and community members,"Over 65 vendors, ranging from fruits and vegetables to home goods and kitchen staples. Arrive empty handed and leave with everything you need to make from-scratch meals at home. You can even dress your dinner table with freshly cut local flowers. Source: <https://www.mariettasquarefarmersmarket.com/press.html>.","Established Customer Base: Being the #1 farmers market in Atlanta ensures consistent foot traffic and a ready market for your goods.
 
 Low Entry Cost: At $25 per week, it offers an affordable way to reach customers compared to other retail options.
 
 In- and Off-Season Sales: Year-round market enables to sell regardless of seasonality","Time Commitment: Requires weekly presence on Saturdays, including setup and breakdown time.
 
 Logistical Challenges: Location is in Marietta, relatively distant from metro Atlanta
 
 Alcohol Prohibition: No Alcohol Policy inhibits using syrup in sample alcoholic drinks","Planning: organize time commitment and schedule logistics beforehand
 
 Alcohol alternatives: use cocktail syrups for virgin drinks","Guidelines: <https://www.mariettasquarefarmersmarket.com/application.html>.
 
 Application Form: <https://docs.google.com/forms/d/e/1FAIpQLScHICyo1VTu6PF4pzlffAH_oteyMH082xin57-Hu5vCmQo-TA/viewform?c=0&w=1>.","Site: <www.facebook.com/mariettasquarefarmersmarket>.
 
 Facebook: <https://www.mariettasquarefarmersmarket.com/>.",Not an Option,$25.00,,,
Decatur Farmers Market,"308 Clairemont Rd., Decatur, GA 30030",DeKalb County,33.7763,-84.2941,"Wednesdays, 4 – 7 pm (March 27 – November 20)",Wednesday,16:00:00,19:00:00,27-Mar,20-Nov,"Standard Booth: $20 per week
 Farmer Booth: $20 per week",$20.00,NA,Gas,Application Fee: $100+,A family-friendly market emphasizing local and independent vendors. A key gathering spot for the community with ample outdoor space for families.,Families and community members,"Farmers, local food producers, and artisans","Community Hub: Serves as a key gathering spot for families, promoting local and independent vendors, which can enhance your visibility.","Limited Season: Operates only from March to November, which may limit sales opportunities during the off-season.
 
 Time Commitment: Requires a commitment to be present every Wednesday from 4 to 7 pm, including setup and breakdown time.
 
 Application Fee: The initial application fee of $100+ may be a barrier","Scheduling: check the inventory according to each week and decide when it would be best to participate in this market
 
 Planning: organize time commitment and schedule logistics beforehand
 
 Multiple Applications: since applying to more of their festivals decreases the price/application, it might be worth applying to 2+ farmers' market","2025 Applications Open December 17th 2024
 
 Guidelines: <https://cfmatl.org/become-a-vendor/>.
 
 Application Fees
 
 First Time Applicants: If you are a First-Time Applicant or have never been accepted as a full season vendor at a CFM market before, the initial application fee is $100.00 for one market and $50.00 for each additional market(s) you would like to apply for. 
 
 Returning Vendors: If you are a Returning Vendor (having sold at one or more CFM markets last season) the application fee is $50.00 for one market and $25.00 for each additional market(s) you would like to apply for. All vendors are required to resubmit applications and fees at the start of each season.
 
 New Vendor Application Fee Discount Form: CFM is providing financial assistance for businesses operated by socially and/or historically disenfranchised persons or groups. If interested, please fill out this form to request a discount on your application fee before completing your vendor application. (available only during open application period)",Site: <https://cfmatl.org/decatur/>.,Not an Option,$20.00,,,
East Atlanta Village Farmers Market,"572 Stokeswood Ave., Atlanta, GA 30316",Fulton County,33.7284,-84.3472,"Thursdays, 4 – 8 pm (March 28 – November 21)",Thursday,16:00:00,20:00:00,28-Mar,21-Nov,"Standard Booth: $20 per week
 Farmer Booth: $20 per week",$20.00,NA,Gas,Application Fee: $100+,"One of Atlanta's oldest markets, featuring local produce, artisan goods, and chef demonstrations. Includes an Edible Learning Garden and plenty of seating for a vibrant community vibe.","Food enthusiasts, local residents","Farmers, artisans, prepared food vendors, and educators","Established Customer Base: one of ATL's most historic farmers' markets
 
 Interactivity: includes chef demonstrations; could be an opportunity to offer free samples","Limited Season: Operates only from March to November, which may limit sales opportunities during the off-season.
 
 Time Commitment: Requires a commitment to be present every Wednesday from 4 to 7 pm, including setup and breakdown time.
 
 Application Fee: The initial application fee of $100+ may be a barrier","Scheduling: check the inventory according to each week and decide when it would be best to participate in this market
 
 Planning: organize time commitment and schedule logistics beforehand
 
 Multiple Applications: since applying to more of their festivals decreases the price/application, it might be worth applying to 2+ farmers' market","2025 Applications Open December 17th 2024
 
 Guidelines: <https://cfmatl.org/become-a-vendor/>.
 
 Application Fees
 
 First Time Applicants: If you are a First-Time Applicant or have never been accepted as a full season vendor at a CFM market before, the initial application fee is $100.00 for one market and $50.00 for each additional market(s) you would like to apply for. 
 
 Returning Vendors: If you are a Returning Vendor (having sold at one or more CFM markets last season) the application fee is $50.00 for one market and $25.00 for each additional market(s) you would like to apply for. All vendors are required to resubmit applications and fees at the start of each season.
 
 New Vendor Application Fee Discount Form: CFM is providing financial assistance for businesses operated by socially and/or historically disenfranchised persons or groups. If interested, please fill out this form to request a discount on your application fee before completing your vendor application. (available only during open application period)",Site: <https://cfmatl.org/eav/>.,Not an Option,$20.00,,,
Oakhurst Farmers Market,"630 East Lake Drive – Unit E, Decatur, GA 30030",DeKalb County,33.769,-84.3088,"Saturdays, 9 am – 1 pm (March 30 – December 21)",Saturday,09:00:00,13:00:00,30-Mar,21-Dec,"Standard Booth: $30 per week
 Farmer Booth: $20 per week",$30.00,NA,Gas,Application Fee: $100+,"A newer market hosted by Sceptre Brewing Arts, offering fresh produce, baked goods, live music, and seasonal chef demonstrations. Features collaborations with local breweries.","Young adults, families, and food lovers","Farmers, brewers, bakers, and artisans","Hype: since it's a relatively new place, people might be interested in exploring it
 
 Potential synergies: presence of breweries can attract alcoholic drink enthusiatsts, one of Farmer Jam's main customers","Limited Season: Operates only from March to November, which may limit sales opportunities during the off-season.
 
 Time Commitment: Requires a commitment to be present every Wednesday from 4 to 7 pm, including setup and breakdown time.
 
 Application Fee: The initial application fee of $100+ may be a barrier","Scheduling: check the inventory according to each week and decide when it would be best to participate in this market
 
 Planning: organize time commitment and schedule logistics beforehand
 
 Multiple Applications: since applying to more of their festivals decreases the price/application, it might be worth applying to 2+ farmers' market","2025 Applications Open December 17th 2024
 
 Guidelines: <https://cfmatl.org/become-a-vendor/>.
 
 Application Fees
 
 First Time Applicants: If you are a First-Time Applicant or have never been accepted as a full season vendor at a CFM market before, the initial application fee is $100.00 for one market and $50.00 for each additional market(s) you would like to apply for. 
 
 Returning Vendors: If you are a Returning Vendor (having sold at one or more CFM markets last season) the application fee is $50.00 for one market and $25.00 for each additional market(s) you would like to apply for. All vendors are required to resubmit applications and fees at the start of each season.
 
 New Vendor Application Fee Discount Form: CFM is providing financial assistance for businesses operated by socially and/or historically disenfranchised persons or groups. If interested, please fill out this form to request a discount on your application fee before completing your vendor application. (available only during open application period)",Site: <https://cfmatl.org/oakhurst/>.,Not an Option,$30.00,,,
Grant Park Farmers Market,"1040 Grant St SE, Atlanta, GA 30315",Fulton County,33.7224,-84.3804,"Sundays, 9 am – 1 pm (March 31 – December 22)",Sunday,09:00:00,13:00:00,31-Mar,22-Dec,"Standard Booth: $40 per week
 Farmer Booth: $30 per week",$40.00,NA,Gas,Application Fee: $100+,A popular Sunday market known for celebrity chef demos and a wide selection of locally grown foods. Offers ample picnic space for a community-oriented experience.,"Foodies, bloggers, and local families","Farmers, celebrity chefs, local food and artisan vendors","Community Hub: Serves as a key gathering spot for families, promoting local and independent vendors, which can enhance your visibility.","Limited Season: Operates only from March to November, which may limit sales opportunities during the off-season.
 
 Time Commitment: Requires a commitment to be present every Wednesday from 4 to 7 pm, including setup and breakdown time.
 
 Application Fee: The initial application fee of $100+ may be a barrier","Scheduling: check the inventory according to each week and decide when it would be best to participate in this market
 
 Planning: organize time commitment and schedule logistics beforehand
 
 Multiple Applications: since applying to more of their festivals decreases the price/application, it might be worth applying to 2+ farmers' market","2025 Applications Open December 17th 2024
 
 Guidelines: <https://cfmatl.org/become-a-vendor/>.
 
 Application Fees
 
 First Time Applicants: If you are a First-Time Applicant or have never been accepted as a full season vendor at a CFM market before, the initial application fee is $100.00 for one market and $50.00 for each additional market(s) you would like to apply for. 
 
 Returning Vendors: If you are a Returning Vendor (having sold at one or more CFM markets last season) the application fee is $50.00 for one market and $25.00 for each additional market(s) you would like to apply for. All vendors are required to resubmit applications and fees at the start of each season.
 
 New Vendor Application Fee Discount Form: CFM is providing financial assistance for businesses operated by socially and/or historically disenfranchised persons or groups. If interested, please fill out this form to request a discount on your application fee before completing your vendor application. (available only during open application period)",Site: <https://cfmatl.org/grantpark/>.,Not an Option,$40.00,,,
Peachtree Road Farmers Market,"The Cathedral of St. Philip, 2744 Peachtree Road, NW Atlanta, Georgia 30305",Fulton County,33.8301,-84.3853,"Saturdays, 8:30am - 12:00pm
 (March 2 - December 14, 2024)",Saturday,08:30:00,12:00:00,2-Mar,14-Dec,"Full Membership, $150 - Participant is eligible for all Saturday markets, is guaranteed attendance, and will have a
 permanent market location.
 Partial Membership, $100 - Participant is eligible for up to 22 Saturday markets, is guaranteed attendance, market
 location may vary.
 Weekly Fees (Must be paid at minimum one month in advance).
 Saturday weekly fees are as follows: Farmers - $25, Prepared Food Vendors - $35, Drop-In Vendors $60 or $65
 Security Fee: $100. Must be paid prior to the first Market in which the Market Participant will participate.",$35.00,"Full Membership, $150 - Participant is eligible for all Saturday markets, is guaranteed attendance, and will have a
 permanent market location.
 Partial Membership, $100 - Participant is eligible for up to 22 Saturday markets, is guaranteed attendance, market
 location may vary.",Gas,"Application Fee: $75
 
 Security Fee: $100. Must be paid prior to the first Market in which the Market Participant will participate","A large producer-only market that connects local farmers directly with consumers. PRFM offers fresh, local produce and doubles SNAP benefits, supporting food access for all.","Local residents, families, SNAP (Supplemental Nutrition Assistance Program) beneficiaries","Farmers, food producers, and artisans","Social Impact: this festival attracts people in SNAP (Supplemental Nutrition Assistance Program)
 
 Community Engagement: Fosters connections with local families and other vendors, enhancing networking opportunities.","High Entry and Application Fees: $75 to apply, $100 security fee",Membership Opportunities: Paying the fee might be justifiable to partake in all the events at a lower cost; check availability and commitment,"No information on applications for next year yet.
 
 New & Returning Vendor Application Fee: $75. 
 Applications will not be reviewed until the fee is paid. This fee is non–refundable.
 
 Guidelines: <https://static1.squarespace.com/static/56bc99eb746fb9fe8d06fa3e/t/65bbf4811ccd41207a3ccb56/1706816642547/2024+Policies+%26+Procedures.pdf>.",Site: <https://peachtreeroadfarmersmarket.com/>.,Not an Option,$35.00,,,
Piedmont Park Conservancy Green Market – Farm to Park,"1071 Piedmont Ave NE, Atlanta, GA 30309",Fulton County,33.7831,-84.3738,"Saturdays, 9am-1pm (March 30th to December 14th)",Saturday,09:00:00,13:00:00,30-Mar,14-Dec,"$30 per week
 
 Discount: 10% discount for those who pay in full and plan to attend the market for the entire 34
 weeks.",$30.00,,Gas,"Application Fee: $40
 
 Liability Insurance: minimum of $1 million in coverage is required by all vendors. A copy of the certificate of insurance must be provided upon notification of acceptance prior to attending the market","Market encourages sustainable communities in the most basic way – by providing shoppers with direct access to local farmers and small businesses. Enjoy local farmers, bakers, jams, preserves and artisan goods. There is something for everyone. While you shop, you can enjoy prepared foods and drinks for breakfast and lunch.",Local residents,"Green Market focuses mainly on consumable food products, prioritizing locally farmed produce, meat, eggs, and dairy. It also features prepared foods, artisanal grocery items, and a selection of handmade jewelry, arts, and crafts. Other product categories and promotional activities may be permitted on a case-by-case basis, with sponsorship opportunities available through the market manager.","Low Application Fee: compared to other markets, the $40 application fee is low
 
 Popularity: due to its location (Piedmont Park), it's a very popular farmers' market, ranked as one of the best in Atlanta","Competitveness: apparently, it's a very well-known spot in Atlanta and previous vendors are given priority
 
 Insurance: fulfilling their insurance policies might be a financial burden","Network: try to contact organizers and check the application competitveness for the season
 
 Research Insurance: look for the requirements and options to purchase insurance; conduct a cost-benefit analysis","Expected to open on February 2025 for 2025 season
 
 Guidelines: <https://piedmontpark.org/wp-content/uploads/2023/09/GM-Vendor-Handbook-2023-1.pdf>.
 
 Application Form: <https://piedmontpark.org/2024-vendor-application/>.
 
 Note: The Piedmont Park Green Market is a selective and competitive market with a limited footprint. Returning vendors are generally given priority over new applicants in the same category. Our turnover is extremely low.",Site: <https://piedmontpark.org/2024-vendor-application/>.,Not an Option,$30.00,,,
Snellville Farmers Market,"2342 Oak Road, Snellville, GA",Gwinnett County,33.8574,-84.0145,Saturdays 9:00am - 12:00pm (1st and 3rd Saturdays of each month; October - May),Saturday,09:00:00,12:00:00,1-Oct,30-May,"$20 per week
 
 Full Memberhip: $250",$20.00,Full Memberhip: $250,Gas,Liability Insurance,"The Snellville Farmers’ Market is administered by a group of very dedicated local residents, many of whom volunteer their time and talents to bring the market to the city. The market operates without any funding from the city. The city does, however, allow the market to operate on the Towne Green, a prime location in front of City Hall where the market has outstanding exposure to traffic on US 78 and Oak Road.
 
 The mission of the Snellville Farmers’ Market is:
 
 To “Nourish Our Community” by providing fresh, local and seasonal produce and encouraging community pride.","Producer-only market that offers locally grown produce and other locally-sourced items, including meats, eggs, honey, baked goods, and bath and body care products.",Vibrant selection of fresh and locally sourced produce and other food items created by dedicated small businesses.,Location: exposure to traffic on US 78 and Oak Road; outskirts of Atlanta,Location: considerable distance from Atlanta; logistics challenge,Location: Conduct cost-benefit analysis if revenue and exposure compensate transportation and logistics costs,"Guidelines: <https://snellvillefarmersmarket.com/docs/2024_SFM_Policies.pdf>.
 
 Application Form: <https://snellvillefarmersmarket.com/wp-content/uploads/2024/10/2024-2025-Extended-Season-Info-and-app-for-vendors.pdf>.",Site: <https://snellvillefarmersmarket.com/>.,Not an Option,$20.00,,,
Druid Hills Farmers Market,"3039 Briarcliff Rd NE, Atlanta, GA, 30329",DeKalb County,33.8377,-84.3153,Saturdays 9am-12pm,Saturday,09:00:00,12:00:00,1-Jan,31-Dec,$25 per week,$25.00,NA,Gas,Application Fee: $25,Druid Hills Farmers Market invites you to explore a vibrant selection of fresh and locally sourced produce and other food items created by dedicated small businesses.,Local residents,Vibrant selection of fresh and locally sourced produce and other food items created by dedicated small businesses.,"Community Exposure: This market targets local residents in a neighborhood environment, ideal for introducing the Farmers Jam brand to a consistent community of shoppers.
 
 Low-Cost Entry: At $25 per week plus the initial application fee, the financial commitment is relatively affordable, especially for testing market interest in a local area.","Working Hours: With only three hours of sales time, there’s limited opportunity to make substantial sales",Working Hours: Farmers Jam could promote its participation in the market on social media in advance to attract interested customers.,"Application Form for 2024 season: <https://docs.google.com/forms/d/e/1FAIpQLSeH_KJJtn5r9oc6W6OxWheqvhabSTGmvA3gJON1EJC_KPHXBw/viewform>.
 
 Application for 2025 season coming out in January.",Site: <https://www.druidhillsfarmersmarket.com/>.,Not an Option,$25.00,,,
Castleberry Farmers Market,"99 Centennial Olympic Park Dr. SW, Atlanta, GA 30313",Fulton County,33.7603,-84.3958,Sundays: 1pm - 5pm (March 31st - November 10th),Sunday,13:00:00,17:00:00,31-Mar,10-Nov,"$35 per week
 
Discount: 20% discount is provided for vendors wishing to pay for the entire season upfront.",$35.00,Full Membership:,Gas,Application Fee: $50,"Under the Westside Farmers Markets umbrella, Castleberry Market, Fickett Farmers Market, and Underground Atlanta Farmers Markets work together to bring fresh, locally produced food to underserved neighborhoods in southwest and west Atlanta. Our goal is to support and nourish our community by sourcing substantial amounts of food from Georgia growers and producers. We are committed to creating opportunities for local makers, producers, and growers to thrive as entrepreneurs, while actively serving and supporting our community.",Local residents,"Under the Westside Farmers Markets umbrella, Castleberry Market, Fickett Farmers Market, and Underground Atlanta Farmers Markets work together to bring fresh, locally produced food to underserved neighborhoods in southwest and west Atlanta. Our goal is to support and nourish our community by sourcing substantial amounts of food from Georgia growers and producers. We are committed to creating opportunities for local makers, producers, and growers to thrive as entrepreneurs, while actively serving and supporting our community.","Related Products: has syrup mixer; shows there's interest from consumers in having this kind of product
 
 Community Impact and Mission Alignment: This market serves underserved neighborhoods and has a strong community focus, which could align well with Farmers Jam’s values
 
 Afternoon Hours: The 1 pm to 5 pm timeframe on Sundays may attract a broader range of customers compared to morning markets. 
 
 Potential for Discounted Season Rate: The 20% discount for vendors paying upfront offers an affordable option for long-term planning","Cost: At $35 per week plus the $50 application fee, this market has a slightly higher cost than some others
 
 Competition: With a focus on food items and locally produced goods, Farmers Jam may face competition from other vendors offering similar products","Cost: If feasible, take advantage of the 20% discount by paying for the entire season upfront.
 
 Competition: Differentiate by emphasizing the unique flavors of Farmers Jam’s cocktail syrups, offering tasting samples, and educating customers on creative cocktail/mocktail recipes using the syrups.","Guidelines: <https://www.westsidefarmersmarkets.org/_files/ugd/a6d3e5_06c5594d0e604b958c0d5b45da5b68d1.pdf>.
 
 Application Form: <https://www.westsidefarmersmarkets.org/general-1>.",Site: <https://www.westsidefarmersmarkets.org/>.,Not an Option,$35.00,,,
